symbol,priceChange,priceChangePercent,weightedAvgPrice,prevClosePrice,lastPrice,lastQty,bidPrice,bidQty,askPrice,askQty,openPrice,highPrice,lowPrice,volume,quoteVolume,openTime,closeTime,firstId,lastId,count
ETHBTC,-0.00057000,-0.942,0.06024784,0.06050000,0.05992000,1.39590000,0.05991000,62.11270000,0.05992000,56.63370000,0.06049000,0.06070000,0.05989700,16668.54670000,1004.24400817,1695142837049,1695229237049,423146571,423175959,29389
LTCBTC,-0.00009800,-3.948,0.00243108,0.00248200,0.00238400,0.06300000,0.00238400,287.15100000,0.00238600,93.79500000,0.00248200,0.00249100,0.00236900,93957.67200000,228.41890408,1695142833217,1695229233217,93544302,93559897,15596
BNBBTC,-0.00004500,-0.564,0.00797539,0.00798100,0.00793600,0.22900000,0.00793600,29.32300000,0.00793700,0.01500000,0.00798100,0.00800700,0.00792700,15538.77200000,123.92779650,1695142830419,1695229230419,227211476,227233650,22175
NEOBTC,-0.00000400,-1.431,0.00028041,0.00027950,0.00027560,1.19000000,0.00027540,26.71000000,0.00027560,0.42000000,0.00027960,0.00028550,0.00027490,12808.12000000,3.59151760,1695142790076,1695229190076,45517124,45520976,3853
QTUMETH,0.00000200,0.148,0.00134298,0.00135500,0.00135600,25.10000000,0.00135500,90.60000000,0.00135900,8.50000000,0.00135400,0.00136100,0.00134100,732.80000000,0.98413860,1695142805285,1695229205285,5402177,5402202,26
EOSETH,0.00000130,0.369,0.00035268,0.00035090,0.00035400,17.20000000,0.00035290,39.40000000,0.00035340,347.20000000,0.00035270,0.00035570,0.00034960,11287.60000000,3.98089808,1695142832449,1695229232449,23498147,23498282,136
SNTETH,0.00000031,2.263,0.00001398,0.00001369,0.00001401,1197.00000000,0.00001398,4394.00000000,0.00001405,26700.00000000,0.00001370,0.00001416,0.00001360,427869.00000000,5.98324812,1695142835326,1695229235326,3906954,3907289,336
BNTETH,-0.00000230,-0.913,0.00025153,0.00025100,0.00024950,158.10000000,0.00024990,245.70000000,0.00025090,72.50000000,0.00025180,0.00025330,0.00024950,1501.40000000,0.37764496,1695142827759,1695229227759,2235238,2235246,9
BCCBTC,0.00000000,0.000,0.00000000,0.07908100,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689574205013,1689660605013,-1,-1,0
GASBTC,0.00000070,0.738,0.00009957,0.00009490,0.00009560,38.50000000,0.00009540,90.90000000,0.00009580,28.50000000,0.00009490,0.00010640,0.00009380,160057.00000000,15.93752071,1695142829271,1695229229271,20809838,20814349,4512
BNBETH,0.00050000,0.379,0.13235601,0.13190000,0.13240000,0.07600000,0.13240000,15.07800000,0.13250000,1.38900000,0.13190000,0.13300000,0.13160000,3605.52400000,477.21276870,1695142836814,1695229236814,56306732,56311800,5069
BTCUSDT,-96.74000000,-0.355,27126.62636044,27266.74000000,27170.00000000,0.01412000,27170.00000000,9.60555000,27170.01000000,4.47402000,27266.74000000,27388.63000000,26936.79000000,29400.94810000,797548533.75149150,1695142838423,1695229238423,3215839222,3216617589,778368
ETHUSDT,-21.74000000,-1.318,1634.18350136,1649.71000000,1627.98000000,0.12080000,1627.97000000,37.13130000,1627.98000000,30.73910000,1649.72000000,1650.00000000,1618.48000000,190277.64880000,310948594.34709500,1695142838190,1695229238190,1198411044,1198743483,332440
HSRBTC,0.00000000,0.000,0.00000000,0.00041400,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689574205013,1689660605013,-1,-1,0
OAXETH,0.00000000,0.000,0.00000000,0.00017780,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689574205013,1689660605013,-1,-1,0
